"Predictor","OR","CI_Lower","CI_Upper","P_Value"
"(Intercept)",0.976806931461096,0.612595438596756,1.56188010901126,0.921523759292693
"`residential status`On Campus",1.24695604379922,0.813208826469465,1.89895054109878,0.306860160537982
"`residential status`With Family",0.589660729755902,0.355757778202682,0.97317773952305,0.0393369920667677
"`institution level`Public",2.72354690866166,1.82187438905564,4.07882261341592,1.05801150471336e-06
